dataset,band_index_kept,wavelength_nm,orig_band_index
426_1_240506-160058,0,972.55,10
426_1_240506-160058,1,978.89,11
426_1_240506-160058,2,985.23,12
426_1_240506-160058,3,991.56,13
426_1_240506-160058,4,997.9,14
426_1_240506-160058,5,1004.23,15
426_1_240506-160058,6,1010.56,16
426_1_240506-160058,7,1016.9,17
426_1_240506-160058,8,1023.23,18
426_1_240506-160058,9,1029.56,19
426_1_240506-160058,10,1035.9,20
426_1_240506-160058,11,1042.23,21
426_1_240506-160058,12,1048.56,22
426_1_240506-160058,13,1054.89,23
426_1_240506-160058,14,1061.22,24
426_1_240506-160058,15,1067.55,25
426_1_240506-160058,16,1073.88,26
426_1_240506-160058,17,1080.21,27
426_1_240506-160058,18,1086.54,28
426_1_240506-160058,19,1092.87,29
426_1_240506-160058,20,1099.19,30
426_1_240506-160058,21,1105.52,31
426_1_240506-160058,22,1111.85,32
426_1_240506-160058,23,1118.18,33
426_1_240506-160058,24,1124.5,34
426_1_240506-160058,25,1130.83,35
426_1_240506-160058,26,1137.16,36
426_1_240506-160058,27,1143.48,37
426_1_240506-160058,28,1149.81,38
426_1_240506-160058,29,1156.13,39
426_1_240506-160058,30,1162.45,40
426_1_240506-160058,31,1168.78,41
426_1_240506-160058,32,1175.1,42
426_1_240506-160058,33,1181.42,43
426_1_240506-160058,34,1187.75,44
426_1_240506-160058,35,1194.07,45
426_1_240506-160058,36,1200.39,46
426_1_240506-160058,37,1206.71,47
426_1_240506-160058,38,1213.03,48
426_1_240506-160058,39,1219.35,49
426_1_240506-160058,40,1225.67,50
426_1_240506-160058,41,1231.99,51
426_1_240506-160058,42,1238.31,52
426_1_240506-160058,43,1244.63,53
426_1_240506-160058,44,1250.95,54
426_1_240506-160058,45,1257.27,55
426_1_240506-160058,46,1263.58,56
426_1_240506-160058,47,1269.9,57
426_1_240506-160058,48,1276.22,58
426_1_240506-160058,49,1282.53,59
426_1_240506-160058,50,1288.85,60
426_1_240506-160058,51,1295.17,61
426_1_240506-160058,52,1301.48,62
426_1_240506-160058,53,1307.79,63
426_1_240506-160058,54,1314.11,64
426_1_240506-160058,55,1320.42,65
426_1_240506-160058,56,1326.74,66
426_1_240506-160058,57,1333.05,67
426_1_240506-160058,58,1339.36,68
