dataset,band_index_kept,wavelength_nm,orig_band_index
508_240506-160326,0,972.55,10
508_240506-160326,1,978.89,11
508_240506-160326,2,985.23,12
508_240506-160326,3,991.56,13
508_240506-160326,4,997.9,14
508_240506-160326,5,1004.23,15
508_240506-160326,6,1010.56,16
508_240506-160326,7,1016.9,17
508_240506-160326,8,1023.23,18
508_240506-160326,9,1029.56,19
508_240506-160326,10,1035.9,20
508_240506-160326,11,1042.23,21
508_240506-160326,12,1048.56,22
508_240506-160326,13,1054.89,23
508_240506-160326,14,1061.22,24
508_240506-160326,15,1067.55,25
508_240506-160326,16,1073.88,26
508_240506-160326,17,1080.21,27
508_240506-160326,18,1086.54,28
508_240506-160326,19,1092.87,29
508_240506-160326,20,1099.19,30
508_240506-160326,21,1105.52,31
508_240506-160326,22,1111.85,32
508_240506-160326,23,1118.18,33
508_240506-160326,24,1124.5,34
508_240506-160326,25,1130.83,35
508_240506-160326,26,1137.16,36
508_240506-160326,27,1143.48,37
508_240506-160326,28,1149.81,38
508_240506-160326,29,1156.13,39
508_240506-160326,30,1162.45,40
508_240506-160326,31,1168.78,41
508_240506-160326,32,1175.1,42
508_240506-160326,33,1181.42,43
508_240506-160326,34,1187.75,44
508_240506-160326,35,1194.07,45
508_240506-160326,36,1200.39,46
508_240506-160326,37,1206.71,47
508_240506-160326,38,1213.03,48
508_240506-160326,39,1219.35,49
508_240506-160326,40,1225.67,50
508_240506-160326,41,1231.99,51
508_240506-160326,42,1238.31,52
508_240506-160326,43,1244.63,53
508_240506-160326,44,1250.95,54
508_240506-160326,45,1257.27,55
508_240506-160326,46,1263.58,56
508_240506-160326,47,1269.9,57
508_240506-160326,48,1276.22,58
508_240506-160326,49,1282.53,59
508_240506-160326,50,1288.85,60
508_240506-160326,51,1295.17,61
508_240506-160326,52,1301.48,62
508_240506-160326,53,1307.79,63
508_240506-160326,54,1314.11,64
508_240506-160326,55,1320.42,65
508_240506-160326,56,1326.74,66
508_240506-160326,57,1333.05,67
508_240506-160326,58,1339.36,68
508_240506-160326,59,1345.67,69
508_240506-160326,60,1351.99,70
508_240506-160326,61,1358.3,71
