dataset,band_index_kept,wavelength_nm,orig_band_index
554A_240506-160433,0,972.55,10
554A_240506-160433,1,978.89,11
554A_240506-160433,2,985.23,12
554A_240506-160433,3,991.56,13
554A_240506-160433,4,997.9,14
554A_240506-160433,5,1004.23,15
554A_240506-160433,6,1010.56,16
554A_240506-160433,7,1016.9,17
554A_240506-160433,8,1023.23,18
554A_240506-160433,9,1029.56,19
554A_240506-160433,10,1035.9,20
554A_240506-160433,11,1042.23,21
554A_240506-160433,12,1048.56,22
554A_240506-160433,13,1054.89,23
554A_240506-160433,14,1061.22,24
554A_240506-160433,15,1067.55,25
554A_240506-160433,16,1073.88,26
554A_240506-160433,17,1080.21,27
554A_240506-160433,18,1086.54,28
554A_240506-160433,19,1092.87,29
554A_240506-160433,20,1099.19,30
554A_240506-160433,21,1105.52,31
554A_240506-160433,22,1111.85,32
554A_240506-160433,23,1118.18,33
554A_240506-160433,24,1124.5,34
554A_240506-160433,25,1130.83,35
554A_240506-160433,26,1137.16,36
554A_240506-160433,27,1143.48,37
554A_240506-160433,28,1149.81,38
554A_240506-160433,29,1156.13,39
554A_240506-160433,30,1162.45,40
554A_240506-160433,31,1168.78,41
554A_240506-160433,32,1175.1,42
554A_240506-160433,33,1181.42,43
554A_240506-160433,34,1187.75,44
554A_240506-160433,35,1194.07,45
554A_240506-160433,36,1200.39,46
554A_240506-160433,37,1206.71,47
554A_240506-160433,38,1213.03,48
554A_240506-160433,39,1219.35,49
554A_240506-160433,40,1225.67,50
554A_240506-160433,41,1231.99,51
554A_240506-160433,42,1238.31,52
554A_240506-160433,43,1244.63,53
554A_240506-160433,44,1250.95,54
554A_240506-160433,45,1257.27,55
554A_240506-160433,46,1263.58,56
554A_240506-160433,47,1269.9,57
554A_240506-160433,48,1276.22,58
554A_240506-160433,49,1282.53,59
554A_240506-160433,50,1288.85,60
554A_240506-160433,51,1295.17,61
554A_240506-160433,52,1301.48,62
554A_240506-160433,53,1307.79,63
554A_240506-160433,54,1314.11,64
554A_240506-160433,55,1320.42,65
554A_240506-160433,56,1326.74,66
554A_240506-160433,57,1333.05,67
554A_240506-160433,58,1339.36,68
554A_240506-160433,59,1345.67,69
554A_240506-160433,60,1351.99,70
554A_240506-160433,61,1358.3,71
554A_240506-160433,62,1364.61,72
554A_240506-160433,63,1370.92,73
554A_240506-160433,64,1377.23,74
554A_240506-160433,65,1383.54,75
554A_240506-160433,66,1389.85,76
554A_240506-160433,67,1396.16,77
554A_240506-160433,68,1402.47,78
554A_240506-160433,69,1408.77,79
554A_240506-160433,70,1415.08,80
554A_240506-160433,71,1421.39,81
554A_240506-160433,72,1427.7,82
554A_240506-160433,73,1434.0,83
554A_240506-160433,74,1440.31,84
554A_240506-160433,75,1446.62,85
554A_240506-160433,76,1452.92,86
554A_240506-160433,77,1459.23,87
554A_240506-160433,78,1465.53,88
554A_240506-160433,79,1471.83,89
554A_240506-160433,80,1478.14,90
554A_240506-160433,81,1484.44,91
554A_240506-160433,82,1490.74,92
554A_240506-160433,83,1497.05,93
554A_240506-160433,84,1503.35,94
554A_240506-160433,85,1509.65,95
554A_240506-160433,86,1515.95,96
554A_240506-160433,87,1522.25,97
554A_240506-160433,88,1528.55,98
