dataset,band_index_kept,wavelength_nm,orig_band_index
560B_240506-160251,0,972.55,10
560B_240506-160251,1,978.89,11
560B_240506-160251,2,985.23,12
560B_240506-160251,3,991.56,13
560B_240506-160251,4,997.9,14
560B_240506-160251,5,1004.23,15
560B_240506-160251,6,1010.56,16
560B_240506-160251,7,1016.9,17
560B_240506-160251,8,1023.23,18
560B_240506-160251,9,1029.56,19
560B_240506-160251,10,1035.9,20
560B_240506-160251,11,1042.23,21
560B_240506-160251,12,1048.56,22
560B_240506-160251,13,1054.89,23
560B_240506-160251,14,1061.22,24
560B_240506-160251,15,1067.55,25
560B_240506-160251,16,1073.88,26
560B_240506-160251,17,1080.21,27
560B_240506-160251,18,1086.54,28
560B_240506-160251,19,1092.87,29
560B_240506-160251,20,1099.19,30
560B_240506-160251,21,1105.52,31
560B_240506-160251,22,1111.85,32
560B_240506-160251,23,1118.18,33
560B_240506-160251,24,1124.5,34
560B_240506-160251,25,1130.83,35
560B_240506-160251,26,1137.16,36
560B_240506-160251,27,1143.48,37
560B_240506-160251,28,1149.81,38
560B_240506-160251,29,1156.13,39
560B_240506-160251,30,1162.45,40
560B_240506-160251,31,1168.78,41
560B_240506-160251,32,1175.1,42
560B_240506-160251,33,1181.42,43
560B_240506-160251,34,1187.75,44
560B_240506-160251,35,1194.07,45
560B_240506-160251,36,1200.39,46
560B_240506-160251,37,1206.71,47
560B_240506-160251,38,1213.03,48
560B_240506-160251,39,1219.35,49
560B_240506-160251,40,1225.67,50
560B_240506-160251,41,1231.99,51
560B_240506-160251,42,1238.31,52
560B_240506-160251,43,1244.63,53
560B_240506-160251,44,1250.95,54
560B_240506-160251,45,1257.27,55
560B_240506-160251,46,1263.58,56
560B_240506-160251,47,1269.9,57
560B_240506-160251,48,1276.22,58
560B_240506-160251,49,1282.53,59
560B_240506-160251,50,1288.85,60
560B_240506-160251,51,1295.17,61
560B_240506-160251,52,1301.48,62
560B_240506-160251,53,1307.79,63
560B_240506-160251,54,1314.11,64
560B_240506-160251,55,1320.42,65
560B_240506-160251,56,1326.74,66
560B_240506-160251,57,1333.05,67
560B_240506-160251,58,1339.36,68
560B_240506-160251,59,1345.67,69
560B_240506-160251,60,1351.99,70
560B_240506-160251,61,1358.3,71
560B_240506-160251,62,1364.61,72
560B_240506-160251,63,1370.92,73
