dataset,band_index_kept,wavelength_nm,orig_band_index
ATCC27_240506-161129,0,972.55,10
ATCC27_240506-161129,1,978.89,11
ATCC27_240506-161129,2,985.23,12
ATCC27_240506-161129,3,991.56,13
ATCC27_240506-161129,4,997.9,14
ATCC27_240506-161129,5,1004.23,15
ATCC27_240506-161129,6,1010.56,16
ATCC27_240506-161129,7,1016.9,17
ATCC27_240506-161129,8,1023.23,18
ATCC27_240506-161129,9,1029.56,19
ATCC27_240506-161129,10,1035.9,20
ATCC27_240506-161129,11,1042.23,21
ATCC27_240506-161129,12,1048.56,22
ATCC27_240506-161129,13,1054.89,23
ATCC27_240506-161129,14,1061.22,24
ATCC27_240506-161129,15,1067.55,25
ATCC27_240506-161129,16,1073.88,26
ATCC27_240506-161129,17,1080.21,27
ATCC27_240506-161129,18,1086.54,28
ATCC27_240506-161129,19,1092.87,29
ATCC27_240506-161129,20,1099.19,30
ATCC27_240506-161129,21,1105.52,31
ATCC27_240506-161129,22,1111.85,32
ATCC27_240506-161129,23,1118.18,33
ATCC27_240506-161129,24,1124.5,34
ATCC27_240506-161129,25,1130.83,35
ATCC27_240506-161129,26,1137.16,36
ATCC27_240506-161129,27,1143.48,37
ATCC27_240506-161129,28,1149.81,38
ATCC27_240506-161129,29,1156.13,39
ATCC27_240506-161129,30,1162.45,40
ATCC27_240506-161129,31,1168.78,41
ATCC27_240506-161129,32,1175.1,42
ATCC27_240506-161129,33,1181.42,43
ATCC27_240506-161129,34,1187.75,44
ATCC27_240506-161129,35,1194.07,45
ATCC27_240506-161129,36,1200.39,46
ATCC27_240506-161129,37,1206.71,47
ATCC27_240506-161129,38,1213.03,48
ATCC27_240506-161129,39,1219.35,49
ATCC27_240506-161129,40,1225.67,50
ATCC27_240506-161129,41,1231.99,51
ATCC27_240506-161129,42,1238.31,52
ATCC27_240506-161129,43,1244.63,53
ATCC27_240506-161129,44,1250.95,54
ATCC27_240506-161129,45,1257.27,55
ATCC27_240506-161129,46,1263.58,56
ATCC27_240506-161129,47,1269.9,57
ATCC27_240506-161129,48,1276.22,58
ATCC27_240506-161129,49,1282.53,59
ATCC27_240506-161129,50,1288.85,60
ATCC27_240506-161129,51,1295.17,61
ATCC27_240506-161129,52,1301.48,62
ATCC27_240506-161129,53,1307.79,63
ATCC27_240506-161129,54,1314.11,64
ATCC27_240506-161129,55,1320.42,65
ATCC27_240506-161129,56,1326.74,66
ATCC27_240506-161129,57,1333.05,67
ATCC27_240506-161129,58,1339.36,68
ATCC27_240506-161129,59,1345.67,69
ATCC27_240506-161129,60,1351.99,70
ATCC27_240506-161129,61,1358.3,71
ATCC27_240506-161129,62,1364.61,72
ATCC27_240506-161129,63,1370.92,73
ATCC27_240506-161129,64,1377.23,74
ATCC27_240506-161129,65,1383.54,75
ATCC27_240506-161129,66,1389.85,76
ATCC27_240506-161129,67,1396.16,77
ATCC27_240506-161129,68,1402.47,78
ATCC27_240506-161129,69,1408.77,79
ATCC27_240506-161129,70,1415.08,80
ATCC27_240506-161129,71,1421.39,81
ATCC27_240506-161129,72,1427.7,82
ATCC27_240506-161129,73,1434.0,83
ATCC27_240506-161129,74,1440.31,84
ATCC27_240506-161129,75,1446.62,85
ATCC27_240506-161129,76,1452.92,86
ATCC27_240506-161129,77,1459.23,87
ATCC27_240506-161129,78,1465.53,88
ATCC27_240506-161129,79,1471.83,89
ATCC27_240506-161129,80,1478.14,90
ATCC27_240506-161129,81,1484.44,91
ATCC27_240506-161129,82,1490.74,92
ATCC27_240506-161129,83,1497.05,93
ATCC27_240506-161129,84,1503.35,94
ATCC27_240506-161129,85,1509.65,95
ATCC27_240506-161129,86,1515.95,96
ATCC27_240506-161129,87,1522.25,97
ATCC27_240506-161129,88,1528.55,98
ATCC27_240506-161129,89,1534.85,99
ATCC27_240506-161129,90,1541.15,100
ATCC27_240506-161129,91,1547.45,101
ATCC27_240506-161129,92,1553.75,102
ATCC27_240506-161129,93,1560.05,103
ATCC27_240506-161129,94,1566.35,104
ATCC27_240506-161129,95,1572.64,105
ATCC27_240506-161129,96,1578.94,106
ATCC27_240506-161129,97,1585.24,107
ATCC27_240506-161129,98,1591.53,108
ATCC27_240506-161129,99,1597.83,109
ATCC27_240506-161129,100,1604.13,110
ATCC27_240506-161129,101,1610.42,111
ATCC27_240506-161129,102,1616.72,112
ATCC27_240506-161129,103,1623.01,113
ATCC27_240506-161129,104,1629.3,114
ATCC27_240506-161129,105,1635.6,115
ATCC27_240506-161129,106,1641.89,116
ATCC27_240506-161129,107,1648.18,117
ATCC27_240506-161129,108,1654.48,118
ATCC27_240506-161129,109,1660.77,119
ATCC27_240506-161129,110,1667.06,120
ATCC27_240506-161129,111,1673.35,121
ATCC27_240506-161129,112,1679.64,122
ATCC27_240506-161129,113,1685.93,123
ATCC27_240506-161129,114,1692.22,124
ATCC27_240506-161129,115,1698.51,125
ATCC27_240506-161129,116,1704.8,126
ATCC27_240506-161129,117,1711.09,127
ATCC27_240506-161129,118,1717.38,128
ATCC27_240506-161129,119,1723.66,129
ATCC27_240506-161129,120,1729.95,130
ATCC27_240506-161129,121,1736.24,131
ATCC27_240506-161129,122,1742.53,132
ATCC27_240506-161129,123,1748.81,133
ATCC27_240506-161129,124,1755.1,134
ATCC27_240506-161129,125,1761.38,135
ATCC27_240506-161129,126,1767.67,136
ATCC27_240506-161129,127,1773.95,137
ATCC27_240506-161129,128,1780.24,138
ATCC27_240506-161129,129,1786.52,139
ATCC27_240506-161129,130,1792.8,140
ATCC27_240506-161129,131,1799.09,141
ATCC27_240506-161129,132,1805.37,142
ATCC27_240506-161129,133,1811.65,143
ATCC27_240506-161129,134,1817.93,144
ATCC27_240506-161129,135,1824.21,145
ATCC27_240506-161129,136,1830.5,146
ATCC27_240506-161129,137,1836.78,147
ATCC27_240506-161129,138,1843.06,148
ATCC27_240506-161129,139,1849.34,149
ATCC27_240506-161129,140,1855.61,150
ATCC27_240506-161129,141,1861.89,151
ATCC27_240506-161129,142,1868.17,152
ATCC27_240506-161129,143,1874.45,153
ATCC27_240506-161129,144,1880.73,154
ATCC27_240506-161129,145,1887.0,155
ATCC27_240506-161129,146,1893.28,156
ATCC27_240506-161129,147,1899.56,157
ATCC27_240506-161129,148,1905.83,158
ATCC27_240506-161129,149,1912.11,159
ATCC27_240506-161129,150,1918.38,160
ATCC27_240506-161129,151,1924.66,161
ATCC27_240506-161129,152,1930.93,162
ATCC27_240506-161129,153,1937.21,163
ATCC27_240506-161129,154,1943.48,164
ATCC27_240506-161129,155,1949.75,165
ATCC27_240506-161129,156,1956.03,166
ATCC27_240506-161129,157,1962.3,167
ATCC27_240506-161129,158,1968.57,168
ATCC27_240506-161129,159,1974.84,169
ATCC27_240506-161129,160,1981.11,170
ATCC27_240506-161129,161,1987.39,171
ATCC27_240506-161129,162,1993.66,172
ATCC27_240506-161129,163,1999.93,173
ATCC27_240506-161129,164,2006.19,174
ATCC27_240506-161129,165,2012.46,175
ATCC27_240506-161129,166,2018.73,176
ATCC27_240506-161129,167,2025.0,177
ATCC27_240506-161129,168,2031.27,178
ATCC27_240506-161129,169,2037.54,179
ATCC27_240506-161129,170,2043.8,180
ATCC27_240506-161129,171,2050.07,181
ATCC27_240506-161129,172,2056.34,182
ATCC27_240506-161129,173,2062.6,183
ATCC27_240506-161129,174,2068.87,184
ATCC27_240506-161129,175,2075.13,185
ATCC27_240506-161129,176,2081.4,186
ATCC27_240506-161129,177,2087.66,187
ATCC27_240506-161129,178,2093.93,188
ATCC27_240506-161129,179,2100.19,189
ATCC27_240506-161129,180,2106.45,190
ATCC27_240506-161129,181,2112.71,191
ATCC27_240506-161129,182,2118.98,192
ATCC27_240506-161129,183,2125.24,193
ATCC27_240506-161129,184,2131.5,194
ATCC27_240506-161129,185,2137.76,195
