epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,-59.8725,0.46436,0.84973,1.15548,0.00663,1,0.00743,0.00415,1.79039,52.3116,1.71097,0.09076,9.33333e-05,9.33333e-05
2,-51.8479,0.48915,0.5576,1.10046,0.00823,1,0.01395,0.00905,1.52578,3.32772,1.74091,0.08086,0.000193333,0.000193333
3,-43.9789,0.40966,0.4615,1.0622,0.00735,1,0.00867,0.00379,2.34303,415.688,5.22677,0.07096,0.000293331,0.000293331
4,-36.3832,0.45646,0.47684,1.06803,0.0841,0.3178,0.11251,0.03492,1.98836,10.4543,3.20712,0.06106,0.000393325,0.000393325
5,-28.6681,0.455,0.45407,1.06807,0.08483,0.98305,0.08983,0.04327,2.35008,864.673,66.774,0.05116,0.000493315,0.000493315
6,-21.0633,0.49464,0.52711,1.08518,0.08283,0.99153,0.08609,0.04128,2.66065,608.992,52.179,0.04126,0.000593299,0.000593299
7,-13.693,0.41749,0.40876,1.02945,0.03657,0.80932,0.03345,0.00676,3.59499,5.49428,45.9781,0.0313599,0.000693275,0.000693275
8,-6.30394,0.46453,0.46747,1.08956,0.15208,0.63983,0.51902,0.08235,2.30025,13.5932,10.7771,0.0214599,0.000793242,0.000793242
9,1.27671,0.48061,0.45744,1.08659,0.21372,0.99576,0.63471,0.1891,1.8436,22.2121,11.7739,0.0115599,0.000893199,0.000893199
10,8.61345,0.42602,0.42933,1.03503,0.52694,0.82203,0.5796,0.20096,2.4257,3.36003,4.12826,0.00165981,0.000993145,0.000993145
11,16.0004,0.46726,0.3956,1.08951,0.66922,0.88136,0.91174,0.5507,1.36509,2.08313,2.08575,0.000999766,0.000999766,0.000999766
12,23.6219,0.4421,0.39376,1.08295,0.5001,0.9661,0.49461,0.20758,1.94236,3.12178,4.52174,0.000999716,0.000999716,0.000999716
13,31.0436,0.43499,0.3909,1.05887,0.00124,0.00424,0.00025,0.00011,4.26456,7.14318,6.4206,0.000999662,0.000999662,0.000999662
14,38.232,0.37403,0.38277,1.02947,0.02357,0.16525,0.00639,0.00087,3.96965,8.78625,6.75359,0.000999604,0.000999604,0.000999604
15,45.5246,0.37277,0.3421,1.02669,0.00161,0.09746,0.00088,0.00046,2.43307,13.0936,2.65072,0.000999541,0.000999541,0.000999541
16,52.7581,0.37191,0.34251,1.01011,0.00084,0.01271,0.00021,4e-05,2.87618,18.3827,3.26382,0.000999473,0.000999473,0.000999473
17,60.0521,0.39762,0.34601,1.06185,0.00981,0.44492,0.00762,0.00222,1.94392,6.90735,2.44501,0.0009994,0.0009994,0.0009994
18,135.16,0.3543,0.33235,1.0171,0.11759,0.23305,0.03484,0.01037,2.3474,5.32896,3.2754,0.000999323,0.000999323,0.000999323
19,74.5552,0.35665,0.33985,1.00055,0.07747,0.38559,0.05755,0.0167,3.23206,4.58964,4.06375,0.000999241,0.000999241,0.000999241
20,81.8063,0.37619,0.34625,1.02579,0.17865,0.72881,0.15811,0.03172,3.681,6.48518,4.89595,0.000999154,0.000999154,0.000999154
21,89.0171,0.33967,0.31348,1.0006,0.92938,0.74576,0.83095,0.08929,3.40609,4.90092,4.95302,0.000999063,0.000999063,0.000999063
22,96.203,0.30863,0.30054,0.99145,0.46608,0.73305,0.65505,0.18723,2.25024,3.87826,2.88021,0.000998967,0.000998967,0.000998967
23,103.492,0.29458,0.29798,0.98234,0.3835,0.70763,0.4287,0.08831,2.9912,4.61111,3.89949,0.000998866,0.000998866,0.000998866
24,110.681,0.34663,0.29339,1.00338,0.4195,0.72881,0.3483,0.15341,2.15748,4.91373,2.66743,0.000998761,0.000998761,0.000998761
25,117.921,0.33741,0.2853,0.99643,0.48303,0.72881,0.58356,0.10243,3.47428,2.94129,4.02307,0.00099865,0.00099865,0.00099865
26,125.122,0.31759,0.28443,0.98269,0.24879,0.74153,0.70609,0.25223,2.29512,5.76154,2.88573,0.000998536,0.000998536,0.000998536
27,200.298,0.34155,0.2819,0.99357,0.59613,0.74576,0.83908,0.61687,1.53078,3.00983,2.01751,0.000998416,0.000998416,0.000998416
